"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"1120098731871","1120098731871_2311549","2","2311549","Seke-Banza","-5.33333","13.26667","ADM3","third-order administrative division","6295630|6255146|CD|08|7731975|2311549","Earth|Africa|DR Congo|Province du Bas-Congo|Bas Fleuve District|Seke-Banza","1","1"
"1120098731871","1120098731871_2311125","2","2311125","Tshela","-4.98333","12.93333","ADM3","third-order administrative division","6295630|6255146|CD|08|7731975|2311125","Earth|Africa|DR Congo|Province du Bas-Congo|Bas Fleuve District|Tshela","1","1"
"1120098710388","1120098710388_7731965","2","7731965","Kinshasa","-4.47223","15.8836","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|7731965","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Kinshasa","1","1"
"112009878795","112009878795_212901","2","212901","Kindu","-2.95","25.93333","ADM3","third-order administrative division","6295630|6255146|CD|10|8260564|212901","Earth|Africa|DR Congo|Province du Maniema|Maniema|Kindu","1","1"
"1120098715277","1120098715277_219056","2","219056","Beni","0.5","29.46667","ADM3","third-order administrative division","6295630|6255146|CD|11|8260563|219056","Earth|Africa|DR Congo|Nord Kivu|North Kivu|Beni","1","1"
"1120098715277","1120098715277_217830","2","217830","Bukavu","-2.5","28.86667","ADM3","third-order administrative division","6295630|6255146|CD|12|8260566|217830","Earth|Africa|DR Congo|South Kivu|South Kivu|Bukavu","1","1"
"1120098715277","1120098715277_216540","2","216540","Fizi","-4.3","28.95","ADM3","third-order administrative division","6295630|6255146|CD|12|8260566|216540","Earth|Africa|DR Congo|South Kivu|South Kivu|Fizi","1","1"
"1120098715277","1120098715277_216279","2","216279","Goma","-1.68333","29.23333","ADM3","third-order administrative division","6295630|6255146|CD|11|8260563|216279","Earth|Africa|DR Congo|Nord Kivu|North Kivu|Goma","1","1"
"1120098715277","1120098715277_215603","2","215603","Kabare","-2.48333","28.8","ADM3","third-order administrative division","6295630|6255146|CD|12|8260566|215603","Earth|Africa|DR Congo|South Kivu|South Kivu|Kabare","1","1"
"1120098715277","1120098715277_215001","2","215001","Kalehe","-2.1","28.91667","ADM3","third-order administrative division","6295630|6255146|CD|12|8260566|215001","Earth|Africa|DR Congo|South Kivu|South Kivu|Kalehe","1","1"
"1120098715277","1120098715277_211067","2","211067","Lubero","-0.16667","29.23333","ADM3","third-order administrative division","6295630|6255146|CD|11|8260563|211067","Earth|Africa|DR Congo|Nord Kivu|North Kivu|Lubero","1","1"
"1120098715277","1120098715277_209476","2","209476","Masisi","-1.4","28.81667","ADM3","third-order administrative division","6295630|6255146|CD|11|8260563|209476","Earth|Africa|DR Congo|Nord Kivu|North Kivu|Masisi","1","1"
"1120098715277","1120098715277_207534","2","207534","Mwenga","-3.03333","28.43333","ADM3","third-order administrative division","6295630|6255146|CD|12|8260566|207534","Earth|Africa|DR Congo|South Kivu|South Kivu|Mwenga","1","1"
"1120098715277","1120098715277_206045","2","206045","Rutshuru","-1.18333","29.45","ADM3","third-order administrative division","6295630|6255146|CD|11|8260563|206045","Earth|Africa|DR Congo|Nord Kivu|North Kivu|Rutshuru","1","1"
"1120098715277","1120098715277_204404","2","204404","Uvira","-3.4","29.13333","ADM3","third-order administrative division","6295630|6255146|CD|12|8260566|204404","Earth|Africa|Congo|South Kivu|South Kivu|Uvira","1","1"
"1120098715277","1120098715277_204336","2","204336","Walikale","-1.41667","28.05","ADM3","third-order administrative division","6295630|6255146|CD|11|8260563|204336","Earth|Africa|Congo|Nord Kivu|North Kivu|Walikale","1","1"
"112009878773","112009878773_7731965","2","7731965","Kinshasa","-4.47223","15.8836","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|7731965","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Kinshasa","1","1"
"1120098712044","1120098712044_213927","2","213927","Kasongo","-4.45","26.66667","ADM3","third-order administrative division","6295630|6255146|CD|10|8260564|213927","Earth|Africa|DR Congo|Province du Maniema|Maniema|Kasongo","1","1"
